UserID,MovieID,Rating
1735,1277,1.1711566
3714,514,3.5329084
4746,2095,3.4719932
2077,603,2.605485
1695,2138,2.2376056
1792,447,2.5433688
3270,863,3.774013
1937,1195,3.3435552
1978,2159,3.8131688
1924,1561,2.8071089
4334,2163,2.7060657
2117,48,3.9251943
1009,2733,2.374937
1755,2579,2.717755
4369,0,4.4703536
4732,2134,2.9192288
1081,995,4.3441224
5451,865,3.8081393
1315,0,3.9015222
955,0,4.3674045
514,2990,4.2059155
3365,2028,3.1900883
2868,516,4.447414
1864,2393,4.0265856
3769,825,4.6173377
1763,82,3.6857796
1444,888,1.9651899
2964,1000,3.0302749
5023,933,3.593281
1262,0,3.9807844
1258,1187,4.50723
1974,19,2.5248668
2381,2268,4.248146
1470,1173,2.6258993
1889,1721,2.7626786
2476,2555,3.9497416
2919,1645,3.32886
1895,228,2.6206212
1015,2823,3.9190073
547,2758,2.846661
164,1740,2.775711
1027,1718,1.88646
2751,900,3.3188357
5605,1685,3.665916
259,829,3.6049101
2839,1988,2.3112254
3054,778,3.55262
4167,87,4.076389
2288,2428,2.9684677
4106,863,3.3939476
2654,933,3.9817655
1327,748,2.3532925
4957,744,2.1932495
5777,1577,3.8281612
4556,312,4.8043327
2505,0,4.0706635
887,2122,2.892108
5182,2522,2.9806895
2974,532,2.7476778
1439,2481,1.7574742
1049,1547,2.062445
3840,1767,3.688443
6028,1503,3.697855
2376,0,4.3541884
5006,150,3.8192291
2363,226,2.3930817
1818,412,2.8150663
5641,2351,3.736742
5845,418,3.6628747
654,26,1.3562318
1420,1139,3.6273036
4303,1347,2.9893475
4420,2765,2.0349813
1110,34,4.9977684
3707,517,3.0227227
4599,379,3.3455458
3586,1130,1.6619788
1086,0,4.5515504
1835,0,4.6182485
621,833,4.2851453
3774,2089,2.9504054
2170,259,2.5765986
2646,1874,4.884127
2524,1585,2.1700425
1939,1444,4.0360727
2483,1916,1.1512536
3351,2901,5.260058
2929,1374,2.272923
2073,2261,3.7082715
5284,2207,3.3001726
5228,313,4.422293
2036,1246,2.0327172
4167,0,4.9531107
5723,2526,3.2250948
3161,1372,2.7252493
3278,0,2.9035888
439,867,4.4973845
1614,2766,2.2168145
4931,2975,3.9218378
5625,453,3.980405
1880,722,4.5055194
2464,0,4.440594
3740,312,3.151373
811,1678,2.640867
2818,519,4.2423654
3811,0,3.86248
4561,927,3.55051
2907,1764,4.38128
953,294,2.5956585
1834,2334,3.4702878
4905,941,2.8554986
5124,2861,3.5997918
4352,1406,3.772303
409,945,1.2809277
996,134,2.7543871
5511,1487,4.5217957
1562,412,3.7911654
4560,327,4.108935
2986,2252,4.062181
776,0,2.9433458
4342,1697,3.160308
262,855,4.176033
5592,2010,3.4986389
5346,0,3.9618692
4164,665,4.0099916
147,2148,3.3613207
556,312,3.1329646
2302,1524,3.7911043
3834,1141,3.6147342
5804,826,4.0017424
3164,89,2.257752
4446,1475,2.5690894
2315,1708,3.4474964
336,2061,3.400374
681,1416,3.0146947
4680,2834,2.6049883
4272,2589,2.7665672
5392,0,4.067542
2024,2945,2.8124914
5135,0,4.1822624
1284,1974,4.5026097
5304,1986,3.8970366
2434,1495,2.3774056
1710,1261,3.1802402
806,351,4.2551756
4267,829,4.6574335
3997,1076,3.4520354
1319,784,4.8535385
1674,749,3.2003293
778,1266,3.4363155
5244,2405,3.9927425
2893,416,2.4597163
3997,2159,2.944168
34,1361,3.2306795
227,1402,4.556049
3096,2338,3.9233117
1777,336,3.5889874
1402,1659,3.7589386
3582,0,4.7253633
2769,1042,4.514975
5892,0,2.8825874
4633,0,5.2091994
1624,2589,1.8377442
214,670,4.485832
2591,2943,2.857249
4506,157,4.673965
5517,890,3.67396
5193,1584,2.6346295
4633,438,4.099233
3991,2711,4.0912714
1937,0,3.7757523
155,488,2.7738924
1765,2427,3.2766528
3442,2868,2.9510972
1133,0,4.6569295
